MappedinID,AreaListID_23,AreaListID_25,ChangedColumns,Name_23,Name_25,VN_23,VN_25,EN_23,EN_25,ZH_23,ZH_25,JA_23,JA_25,KO_23,KO_25
e_4820d0bb86b7d8e2,1722,1722,Name,e_4820d0bb86b7d8e2,N,N,N,N,N,,,,,,
e_487242c4ebb12b65,1223,1223,Name,e_487242c4ebb12b65,N,N,N,N,N,,,,,,
e_48ffb259a06d4ff6,896,896,Name,e_48ffb259a06d4ff6,N,N,N,N,N,,,,,,
e_4971228cb1694c66,2399,2399,Name,e_4971228cb1694c66,N,N,N,N,N,,,,,,
e_49a9607b8f4980cf,1182,1182,Name,e_49a9607b8f4980cf,N,N,N,N,N,,,,,,
e_49e6129a6cfc4490,1123,1123,Name,e_49e6129a6cfc4490,N,N,N,N,N,,,,,,
e_49f8e61ff72318d5,761,761,Name,e_49f8e61ff72318d5,N,N,N,N,N,,,,,,
e_4a69432e5c5a5221,1740,1740,Name,e_4a69432e5c5a5221,N,N,N,N,N,,,,,,
e_4af0b528fc8a1674,806,806,Name,e_4af0b528fc8a1674,N,N,N,N,N,,,,,,
e_4d05965469945c3e,929,929,Name,e_4d05965469945c3e,N,N,N,N,N,,,,,,
e_4d7fdaefbc5e8050,747,747,Name,e_4d7fdaefbc5e8050,N,N,N,N,N,,,,,,
e_4d8d34d77f20b0ba,1687,1687,Name,e_4d8d34d77f20b0ba,N,N,N,N,N,,,,,,
e_4df33e156692a954,786,786,Name,e_4df33e156692a954,N,N,N,N,N,,,,,,
e_4df3deed47b09e13,1051,1051,Name,e_4df3deed47b09e13,N,N,N,N,N,,,,,,
e_4dfc72380c5e9cb3,807,807,Name,e_4dfc72380c5e9cb3,N,N,N,N,N,,,,,,
e_4dfe2c570fc6a0dc,1822,1822,Name,e_4dfe2c570fc6a0dc,N,N,N,N,N,,,,,,
e_4e1ee960d018621b,889,889,Name,e_4e1ee960d018621b,N,N,N,N,N,,,,,,
e_4ef4ad6e8e50f77c,2057,2057,Name,e_4ef4ad6e8e50f77c,N,N,N,N,N,,,,,,
e_4f12dcd0566a5a41,816,816,Name,e_4f12dcd0566a5a41,N,N,N,N,N,,,,,,
e_4f82cd8a48890a9b,1251,1251,Name,e_4f82cd8a48890a9b,N,N,N,N,N,,,,,,
e_5042a436de7211b5,1707,1707,Name,e_5042a436de7211b5,N,N,N,N,N,,,,,,
e_517d0b5c8ef62445,1609,1609,Name,e_517d0b5c8ef62445,N,N,N,N,N,,,,,,
e_51c44ff0aa4f2e7a,1065,1065,Name,e_51c44ff0aa4f2e7a,N,N,N,N,N,,,,,,
e_52228c763e2fe492,1631,1631,Name,e_52228c763e2fe492,N,N,N,N,N,,,,,,
e_526b384d5755dc9f,925,925,Name,e_526b384d5755dc9f,N,N,N,N,N,,,,,,
e_52a9826d9e6d7d5e,1791,1791,Name,e_52a9826d9e6d7d5e,N,N,N,N,N,,,,,,
e_52f05ec327dc4b1d,1651,1651,Name,e_52f05ec327dc4b1d,N,N,N,N,N,,,,,,
e_54758591f98a56b9,1743,1743,Name,e_54758591f98a56b9,N,N,N,N,N,,,,,,
e_54838fb6887702be,832,832,Name,e_54838fb6887702be,N,N,N,N,N,,,,,,
e_54bd78ddfb4baad5,1665,1665,Name,e_54bd78ddfb4baad5,N,N,N,N,N,,,,,,
e_54fca4bebff546c2,1011,1011,Name,e_54fca4bebff546c2,N,N,N,N,N,,,,,,
e_55605acedb5eecee,2056,2056,Name,e_55605acedb5eecee,N,N,N,N,N,,,,,,
e_556fe1bae1571bb2,947,947,Name,e_556fe1bae1571bb2,N,N,N,N,N,,,,,,
e_5590937bec69e1a9,814,814,Name,e_5590937bec69e1a9,N,N,N,N,N,,,,,,
e_5640db0371b7c2af,756,756,Name,e_5640db0371b7c2af,N,N,N,N,N,,,,,,
e_575a62b169b9241b,2383,2383,Name,e_575a62b169b9241b,N,N,N,N,N,,,,,,
e_57f26bb832c1f4f8,1261,1261,Name,e_57f26bb832c1f4f8,N,N,N,N,N,,,,,,
